evidence_label,modality,representation,score,rule,subset,n_genuine,n_impostor,threshold,TP,FN,FP,TN,FAR,FRR,TAR,accuracy,precision,recall,F1,subset_EER,subset_EER_threshold
REAL DATA,face,protected_template,estimated_cosine,>=,development,2360,20856,0.62,1427,933,49,20807,0.00234944,0.395339,0.604661,0.957702,0.966802,0.604661,0.744004,0.0869242,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,development,2360,20856,0.63,1359,1001,44,20812,0.0021097,0.424153,0.575847,0.954988,0.968639,0.575847,0.722296,0.0869242,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,development,2360,20856,0.64,1314,1046,37,20819,0.00177407,0.44322,0.55678,0.953351,0.972613,0.55678,0.708165,0.0869242,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,development,2360,20856,0.65,1274,1086,30,20826,0.00143843,0.460169,0.539831,0.95193,0.976994,0.539831,0.695415,0.0869242,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,development,2360,20856,0.66,1214,1146,22,20834,0.00105485,0.485593,0.514407,0.94969,0.982201,0.514407,0.675195,0.0869242,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,development,2360,20856,0.67,1153,1207,20,20836,0.000958957,0.511441,0.488559,0.947149,0.98295,0.488559,0.652703,0.0869242,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,development,2360,20856,0.68,1107,1253,15,20841,0.000719217,0.530932,0.469068,0.945382,0.986631,0.469068,0.635841,0.0869242,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,development,2360,20856,0.69,1050,1310,14,20842,0.00067127,0.555085,0.444915,0.94297,0.986842,0.444915,0.613318,0.0869242,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,development,2360,20856,0.7,997,1363,12,20844,0.000575374,0.577542,0.422458,0.940774,0.988107,0.422458,0.591867,0.0869242,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,development,2360,20856,0.71,951,1409,9,20847,0.00043153,0.597034,0.402966,0.938921,0.990625,0.402966,0.572892,0.0869242,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,development,2360,20856,0.72,886,1474,8,20848,0.000383583,0.624576,0.375424,0.936165,0.991051,0.375424,0.544561,0.0869242,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,development,2360,20856,0.73,833,1527,5,20851,0.000239739,0.647034,0.352966,0.934011,0.994033,0.352966,0.520951,0.0869242,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,development,2360,20856,0.74,776,1584,4,20852,0.000191791,0.671186,0.328814,0.931599,0.994872,0.328814,0.494268,0.0869242,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,development,2360,20856,0.75,720,1640,4,20852,0.000191791,0.694915,0.305085,0.929187,0.994475,0.305085,0.466926,0.0869242,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,development,2360,20856,0.76,668,1692,2,20854,9.58957e-05,0.716949,0.283051,0.927033,0.997015,0.283051,0.440924,0.0869242,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,development,2360,20856,0.77,622,1738,2,20854,9.58957e-05,0.736441,0.263559,0.925052,0.996795,0.263559,0.41689,0.0869242,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,development,2360,20856,0.78,575,1785,1,20855,4.79478e-05,0.756356,0.243644,0.92307,0.998264,0.243644,0.391689,0.0869242,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,development,2360,20856,0.79,459,1901,1,20855,4.79478e-05,0.805508,0.194492,0.918074,0.997826,0.194492,0.325532,0.0869242,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,development,2360,20856,0.8,407,1953,1,20855,4.79478e-05,0.827542,0.172458,0.915834,0.997549,0.172458,0.294075,0.0869242,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,development,2360,20856,0.81,376,1984,0,20856,0,0.840678,0.159322,0.914542,1,0.159322,0.274854,0.0869242,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,development,2360,20856,0.82,344,2016,0,20856,0,0.854237,0.145763,0.913163,1,0.145763,0.254438,0.0869242,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,development,2360,20856,0.83,286,2074,0,20856,0,0.878814,0.121186,0.910665,1,0.121186,0.216175,0.0869242,0.327646
