metric,value
modality,voice
num_samples,751
num_genuine_pairs,13101
num_impostor_pairs,268524
eer,0.022889825855019627
eer_threshold,0.3221414387226105
accuracy,0.9771185086551265
far,0.022880636367698978
frr,0.02289901534234028
precision,0.6756927949327
recall,0.9771009846576597
f1,0.7989140610372589
auc,0.9967238482799453
