fpr,tpr,threshold
0.0,0.0,inf
0.0,7.633005114113426e-05,0.9844074845314026
0.0,0.11640332799022976,0.8655432462692261
3.724061908805172e-06,0.11640332799022976,0.8655167818069458
3.724061908805172e-06,0.18830623616517822,0.8405367732048035
3.724061908805172e-06,0.1884588962674605,0.840532124042511
3.724061908805172e-06,0.22593695137775743,0.828761637210846
7.448123817610344e-06,0.22593695137775743,0.8287593126296997
7.448123817610344e-06,0.250133577589497,0.8210265040397644
1.1172185726415517e-05,0.250133577589497,0.8209980726242065
1.1172185726415517e-05,0.2942523471490726,0.8076679706573486
1.4896247635220688e-05,0.2942523471490726,0.8076402544975281
1.4896247635220688e-05,0.29936646057552857,0.8063066005706787
1.862030954402586e-05,0.29936646057552857,0.8062685132026672
1.862030954402586e-05,0.30150370200748033,0.8055478930473328
2.2344371452831033e-05,0.30150370200748033,0.8055235743522644
2.2344371452831033e-05,0.3071521257919243,0.8038100004196167
2.2344371452831033e-05,0.30730478589420657,0.8038055896759033
2.2344371452831033e-05,0.30997633768414623,0.8031585216522217
2.2344371452831033e-05,0.3101289977864285,0.8031309247016907
2.2344371452831033e-05,0.3459277917716205,0.7920324802398682
2.6068433361636203e-05,0.3459277917716205,0.7919657826423645
2.6068433361636203e-05,0.3469964124875964,0.791610598564148
2.9792495270441377e-05,0.3469964124875964,0.7916105389595032
2.9792495270441377e-05,0.3892069307686436,0.7792775630950928
2.9792495270441377e-05,0.38935959087092586,0.7792596817016602
2.9792495270441377e-05,0.389435920922067,0.7792527675628662
2.9792495270441377e-05,0.3895885810243493,0.779191255569458
2.9792495270441377e-05,0.4246240744981299,0.76780104637146
3.351655717924655e-05,0.4246240744981299,0.7677997350692749
3.351655717924655e-05,0.45607205556827723,0.7577495574951172
3.724061908805172e-05,0.45607205556827723,0.7577265501022339
3.724061908805172e-05,0.45683535607968856,0.757507860660553
4.096468099685689e-05,0.45683535607968856,0.7574425339698792
4.096468099685689e-05,0.46362873063124954,0.7551829814910889
4.468874290566207e-05,0.46362873063124954,0.7551684975624084
4.468874290566207e-05,0.4820242729562629,0.7487053275108337
4.841280481446724e-05,0.4820242729562629,0.7486931681632996
4.841280481446724e-05,0.4854591252576139,0.7474585771560669
5.213686672327241e-05,0.4854591252576139,0.747385561466217
5.213686672327241e-05,0.5060682390657202,0.7398132085800171
5.586092863207758e-05,0.5060682390657202,0.7398077845573425
5.586092863207758e-05,0.5083581405999542,0.7390177249908447
5.9584990540882754e-05,0.5083581405999542,0.738998293876648
5.9584990540882754e-05,0.5141592244866804,0.7370604872703552
6.330905244968793e-05,0.5141592244866804,0.7369834780693054
6.330905244968793e-05,0.517899396992596,0.7357176542282104
6.70331143584931e-05,0.517899396992596,0.735706627368927
6.70331143584931e-05,0.5209525990382413,0.7345852255821228
7.075717626729827e-05,0.5209525990382413,0.7345589399337769
7.075717626729827e-05,0.5269063430272498,0.7321903109550476
7.448123817610344e-05,0.5269063430272498,0.7321799993515015
