metric,value
modality,fingerprint
num_samples,900
num_genuine_pairs,4050
num_impostor_pairs,400500
eer,0.3076835899569982
eer_threshold,0.9147047996520996
accuracy,0.6922877271041898
far,0.3077128589263421
frr,0.30765432098765433
precision,0.02224637623668113
recall,0.6923456790123457
f1,0.0431076230081557
auc,0.7644474138807971
