evidence_label,system,score,threshold,FAR,FRR,TAR,system_EER,system_EER_threshold
REAL DATA,B_deployed_aligned,raw_cosine,0.74,3.70828e-05,0.706832,0.293168,0.0824698,0.301384
REAL DATA,B_deployed_aligned,raw_cosine,0.76,3.70828e-05,0.759452,0.240548,0.0824698,0.301384
REAL DATA,B_deployed_aligned,raw_cosine,0.78,1.23609e-05,0.805439,0.194561,0.0824698,0.301384
REAL DATA,B_deployed_aligned,raw_cosine,0.8,1.23609e-05,0.84811,0.15189,0.0824698,0.301384
REAL DATA,B_deployed_aligned,raw_cosine,0.82,1.23609e-05,0.890559,0.109441,0.0824698,0.301384
REAL DATA,B_deployed_aligned,raw_cosine,0.84,1.23609e-05,0.924608,0.0753924,0.0824698,0.301384
REAL DATA,B_deployed_aligned,raw_cosine,0.86,1.23609e-05,0.952465,0.0475348,0.0824698,0.301384
REAL DATA,B_deployed_aligned,raw_cosine,0.88,1.23609e-05,0.971921,0.0280787,0.0824698,0.301384
REAL DATA,B_deployed_aligned,raw_cosine,0.9,1.23609e-05,0.984966,0.0150343,0.0824698,0.301384
REAL DATA,C_repro_bbox,protected_estimated_cosine,0.6,0.00212608,0.346673,0.653327,0.0841212,0.313983
REAL DATA,C_repro_bbox,protected_estimated_cosine,0.62,0.00142151,0.387132,0.612868,0.0841212,0.313983
REAL DATA,C_repro_bbox,protected_estimated_cosine,0.64,0.000889988,0.432235,0.567765,0.0841212,0.313983
REAL DATA,C_repro_bbox,protected_estimated_cosine,0.66,0.000580964,0.479991,0.520009,0.0841212,0.313983
REAL DATA,C_repro_bbox,protected_estimated_cosine,0.68,0.000407911,0.527084,0.472916,0.0841212,0.313983
REAL DATA,C_repro_bbox,protected_estimated_cosine,0.7,0.000271941,0.575503,0.424497,0.0841212,0.313983
REAL DATA,C_repro_bbox,protected_estimated_cosine,0.72,0.000197775,0.622153,0.377847,0.0841212,0.313983
REAL DATA,C_repro_bbox,protected_estimated_cosine,0.74,9.88875e-05,0.674994,0.325006,0.0841212,0.313983
REAL DATA,C_repro_bbox,protected_estimated_cosine,0.76,3.70828e-05,0.718329,0.281671,0.0841212,0.313983
REAL DATA,C_repro_bbox,protected_estimated_cosine,0.78,1.23609e-05,0.758567,0.241433,0.0841212,0.313983
REAL DATA,C_repro_bbox,protected_estimated_cosine,0.8,0,0.818925,0.181075,0.0841212,0.313983
REAL DATA,C_repro_bbox,protected_estimated_cosine,0.82,0,0.854742,0.145258,0.0841212,0.313983
REAL DATA,C_repro_bbox,protected_estimated_cosine,0.84,0,0.896087,0.103913,0.0841212,0.313983
REAL DATA,C_repro_bbox,protected_estimated_cosine,0.86,0,0.929693,0.0703073,0.0841212,0.313983
REAL DATA,C_repro_bbox,protected_estimated_cosine,0.88,0,0.955782,0.0442184,0.0841212,0.313983
REAL DATA,C_repro_bbox,protected_estimated_cosine,0.9,0,0.974795,0.0252045,0.0841212,0.313983
REAL DATA,C_repro_bbox,raw_cosine,0.6,0.00092707,0.342472,0.657528,0.0672092,0.286275
REAL DATA,C_repro_bbox,raw_cosine,0.62,0.000543881,0.380057,0.619943,0.0672092,0.286275
REAL DATA,C_repro_bbox,raw_cosine,0.64,0.000370828,0.427371,0.572629,0.0672092,0.286275
REAL DATA,C_repro_bbox,raw_cosine,0.66,0.000197775,0.473137,0.526863,0.0672092,0.286275
REAL DATA,C_repro_bbox,raw_cosine,0.68,0.000123609,0.520451,0.479549,0.0672092,0.286275
REAL DATA,C_repro_bbox,raw_cosine,0.7,3.70828e-05,0.572187,0.427813,0.0672092,0.286275
REAL DATA,C_repro_bbox,raw_cosine,0.72,1.23609e-05,0.62348,0.37652,0.0672092,0.286275
REAL DATA,C_repro_bbox,raw_cosine,0.74,1.23609e-05,0.677648,0.322352,0.0672092,0.286275
REAL DATA,C_repro_bbox,raw_cosine,0.76,1.23609e-05,0.738227,0.261773,0.0672092,0.286275
REAL DATA,C_repro_bbox,raw_cosine,0.78,0,0.786867,0.213133,0.0672092,0.286275
REAL DATA,C_repro_bbox,raw_cosine,0.8,0,0.837497,0.162503,0.0672092,0.286275
REAL DATA,C_repro_bbox,raw_cosine,0.82,0,0.879726,0.120274,0.0672092,0.286275
REAL DATA,C_repro_bbox,raw_cosine,0.84,0,0.917533,0.0824674,0.0672092,0.286275
REAL DATA,C_repro_bbox,raw_cosine,0.86,0,0.948486,0.0515145,0.0672092,0.286275
REAL DATA,C_repro_bbox,raw_cosine,0.88,0,0.971921,0.0280787,0.0672092,0.286275
REAL DATA,C_repro_bbox,raw_cosine,0.9,0,0.988724,0.0112757,0.0672092,0.286275
REAL DATA,D_aligned_v1,protected_estimated_cosine,0.6,0.00377009,0.627239,0.372761,0.147219,0.286389
REAL DATA,D_aligned_v1,protected_estimated_cosine,0.62,0.00254635,0.671236,0.328764,0.147219,0.286389
REAL DATA,D_aligned_v1,protected_estimated_cosine,0.64,0.00173053,0.710369,0.289631,0.147219,0.286389
REAL DATA,D_aligned_v1,protected_estimated_cosine,0.66,0.00116193,0.75105,0.24895,0.147219,0.286389
REAL DATA,D_aligned_v1,protected_estimated_cosine,0.68,0.000803461,0.783551,0.216449,0.147219,0.286389
REAL DATA,D_aligned_v1,protected_estimated_cosine,0.7,0.000556242,0.821358,0.178642,0.147219,0.286389
REAL DATA,D_aligned_v1,protected_estimated_cosine,0.72,0.000333745,0.853416,0.146584,0.147219,0.286389
REAL DATA,D_aligned_v1,protected_estimated_cosine,0.74,0.000197775,0.882158,0.117842,0.147219,0.286389
REAL DATA,D_aligned_v1,protected_estimated_cosine,0.76,9.88875e-05,0.904046,0.095954,0.147219,0.286389
REAL DATA,D_aligned_v1,protected_estimated_cosine,0.78,8.65266e-05,0.921291,0.0787088,0.147219,0.286389
REAL DATA,D_aligned_v1,protected_estimated_cosine,0.8,7.41656e-05,0.943179,0.0568207,0.147219,0.286389
REAL DATA,D_aligned_v1,protected_estimated_cosine,0.82,6.18047e-05,0.95755,0.0424497,0.147219,0.286389
REAL DATA,D_aligned_v1,protected_estimated_cosine,0.84,2.47219e-05,0.972142,0.0278576,0.147219,0.286389
REAL DATA,D_aligned_v1,protected_estimated_cosine,0.86,2.47219e-05,0.982092,0.0179085,0.147219,0.286389
REAL DATA,D_aligned_v1,protected_estimated_cosine,0.88,1.23609e-05,0.990935,0.00906478,0.147219,0.286389
REAL DATA,D_aligned_v1,protected_estimated_cosine,0.9,1.23609e-05,0.995578,0.00442184,0.147219,0.286389
REAL DATA,D_aligned_v1,raw_cosine,0.6,0.00155748,0.644705,0.355295,0.12519,0.265067
REAL DATA,D_aligned_v1,raw_cosine,0.62,0.00108776,0.688039,0.311961,0.12519,0.265067
REAL DATA,D_aligned_v1,raw_cosine,0.64,0.000667491,0.727614,0.272386,0.12519,0.265067
REAL DATA,D_aligned_v1,raw_cosine,0.66,0.000407911,0.768959,0.231041,0.12519,0.265067
REAL DATA,D_aligned_v1,raw_cosine,0.68,0.000234858,0.804997,0.195003,0.12519,0.265067
REAL DATA,D_aligned_v1,raw_cosine,0.7,0.000148331,0.838824,0.161176,0.12519,0.265067
REAL DATA,D_aligned_v1,raw_cosine,0.72,8.65266e-05,0.869556,0.130444,0.12519,0.265067
REAL DATA,D_aligned_v1,raw_cosine,0.74,4.94438e-05,0.894981,0.105019,0.12519,0.265067
REAL DATA,D_aligned_v1,raw_cosine,0.76,4.94438e-05,0.923723,0.0762768,0.12519,0.265067
REAL DATA,D_aligned_v1,raw_cosine,0.78,3.70828e-05,0.943621,0.0563785,0.12519,0.265067
REAL DATA,D_aligned_v1,raw_cosine,0.8,2.47219e-05,0.95755,0.0424497,0.12519,0.265067
REAL DATA,D_aligned_v1,raw_cosine,0.82,2.47219e-05,0.973248,0.0267522,0.12519,0.265067
REAL DATA,D_aligned_v1,raw_cosine,0.84,2.47219e-05,0.982976,0.0170241,0.12519,0.265067
REAL DATA,D_aligned_v1,raw_cosine,0.86,1.23609e-05,0.989166,0.0108335,0.12519,0.265067
REAL DATA,D_aligned_v1,raw_cosine,0.88,1.23609e-05,0.993588,0.00641167,0.12519,0.265067
REAL DATA,D_aligned_v1,raw_cosine,0.9,1.23609e-05,0.996684,0.00331638,0.12519,0.265067
REAL DATA,E_bbox_v2,protected_estimated_cosine,0.6,0.0021508,0.330312,0.669688,0.0866985,0.313983
REAL DATA,E_bbox_v2,protected_estimated_cosine,0.62,0.00144623,0.374088,0.625912,0.0866985,0.313983
REAL DATA,E_bbox_v2,protected_estimated_cosine,0.64,0.000964153,0.414548,0.585452,0.0866985,0.313983
REAL DATA,E_bbox_v2,protected_estimated_cosine,0.66,0.00065513,0.459651,0.540349,0.0866985,0.313983
REAL DATA,E_bbox_v2,protected_estimated_cosine,0.68,0.000432633,0.509396,0.490604,0.0866985,0.313983
REAL DATA,E_bbox_v2,protected_estimated_cosine,0.7,0.000271941,0.556931,0.443069,0.0866985,0.313983
REAL DATA,E_bbox_v2,protected_estimated_cosine,0.72,0.000160692,0.604024,0.395976,0.0866985,0.313983
REAL DATA,E_bbox_v2,protected_estimated_cosine,0.74,0.000111248,0.652885,0.347115,0.0866985,0.313983
REAL DATA,E_bbox_v2,protected_estimated_cosine,0.76,4.94438e-05,0.703736,0.296264,0.0866985,0.313983
REAL DATA,E_bbox_v2,protected_estimated_cosine,0.78,2.47219e-05,0.748397,0.251603,0.0866985,0.313983
REAL DATA,E_bbox_v2,protected_estimated_cosine,0.8,0,0.811629,0.188371,0.0866985,0.313983
REAL DATA,E_bbox_v2,protected_estimated_cosine,0.82,0,0.847667,0.152333,0.0866985,0.313983
REAL DATA,E_bbox_v2,protected_estimated_cosine,0.84,0,0.892991,0.107009,0.0866985,0.313983
REAL DATA,E_bbox_v2,protected_estimated_cosine,0.86,0,0.92704,0.0729604,0.0866985,0.313983
REAL DATA,E_bbox_v2,protected_estimated_cosine,0.88,0,0.955339,0.0446606,0.0866985,0.313983
REAL DATA,E_bbox_v2,protected_estimated_cosine,0.9,0,0.97568,0.0243201,0.0866985,0.313983
REAL DATA,E_bbox_v2,raw_cosine,0.6,0.0007911,0.33407,0.66593,0.0699202,0.291488
REAL DATA,E_bbox_v2,raw_cosine,0.62,0.00053152,0.37652,0.62348,0.0699202,0.291488
REAL DATA,E_bbox_v2,raw_cosine,0.64,0.000383189,0.424497,0.575503,0.0699202,0.291488
REAL DATA,E_bbox_v2,raw_cosine,0.66,0.000247219,0.468715,0.531285,0.0699202,0.291488
REAL DATA,E_bbox_v2,raw_cosine,0.68,0.000148331,0.522883,0.477117,0.0699202,0.291488
REAL DATA,E_bbox_v2,raw_cosine,0.7,0.000111248,0.571744,0.428256,0.0699202,0.291488
REAL DATA,E_bbox_v2,raw_cosine,0.72,3.70828e-05,0.623922,0.376078,0.0699202,0.291488
REAL DATA,E_bbox_v2,raw_cosine,0.74,1.23609e-05,0.675216,0.324784,0.0699202,0.291488
REAL DATA,E_bbox_v2,raw_cosine,0.76,0,0.729825,0.270175,0.0699202,0.291488
REAL DATA,E_bbox_v2,raw_cosine,0.78,0,0.784214,0.215786,0.0699202,0.291488
REAL DATA,E_bbox_v2,raw_cosine,0.8,0,0.833296,0.166704,0.0699202,0.291488
REAL DATA,E_bbox_v2,raw_cosine,0.82,0,0.872209,0.127791,0.0699202,0.291488
REAL DATA,E_bbox_v2,raw_cosine,0.84,0,0.9109,0.0891002,0.0699202,0.291488
