threshold,far,frr,accuracy
0.7862921953201294,1.0,0.0,0.010011123470522803
0.7969275146722794,0.9999200998751561,0.0,0.010090223705351625
0.8075628340244293,0.9995405742821473,0.0,0.010465949820788531
0.8181981533765793,0.9979950062421973,0.0,0.01199604498825856
0.8288334727287292,0.9936604244694133,0.0,0.01628723272772216
0.8394687920808792,0.9821298377028714,0.0,0.027702385366456556
0.8501041114330292,0.9573383270911361,0.0002469135802469136,0.05224323322209863
0.8607394307851791,0.9107715355805244,0.003703703703703704,0.09830923248053393
0.8713747501373291,0.8360799001248439,0.012098765432098766,0.17216907675194662
0.882010069489479,0.7313607990012484,0.03530864197530864,0.275607465084662
0.892645388841629,0.6010486891385768,0.0874074074074074,0.40409343715239154
0.903280708193779,0.4578202247191011,0.1708641975308642,0.545052527499691
0.9139160275459289,0.3174931335830212,0.29506172839506173,0.6827314299839328
0.9245513468980789,0.19455680399500624,0.4525925925925926,0.8028599678655296
0.9351866662502288,0.10223720349563047,0.6308641975308642,0.8924706463972315
0.9458219856023788,0.04338077403245943,0.7832098765432098,0.9492127054752194
0.9564573049545289,0.014192259675405742,0.9061728395061729,0.9768780126065999
0.9670926243066787,0.0031910112359550564,0.965925925925926,0.9871709306637004
0.9777279436588288,0.00038202247191011237,0.9918518518518519,0.9896922506488691
0.9883632630109787,9.987515605493134e-06,1.0,0.9899789890001236
0.9989985823631287,2.4968789013732834e-06,1.0,0.9899864046471388
