field,value
experiment,template_set_revocation
num_users,20
modalities_per_set,3
genuine_similarity_before_mean,0.9776041666666667
genuine_similarity_after_mean,0.9766276041666667
revoked_vs_new_similarity_mean,0.5012369791666667
users_with_all_modalities_in_new_set,20
