evidence_label,modality,representation,score,rule,threshold,FAR,FRR,TAR,accuracy,precision,F1
REAL DATA,fingerprint,protected_template,hamming_similarity,>=,0.79,0.997889,0,1,0.05824,0.0563599,0.106706
REAL DATA,fingerprint,protected_template,hamming_similarity,>=,0.8,0.995378,0,1,0.0606099,0.0564941,0.106946
REAL DATA,fingerprint,protected_template,hamming_similarity,>=,0.81,0.986578,0.000372856,0.999627,0.0688939,0.0569493,0.107759
REAL DATA,fingerprint,protected_template,hamming_similarity,>=,0.82,0.973933,0.000372856,0.999627,0.0808271,0.057646,0.109006
REAL DATA,fingerprint,protected_template,hamming_similarity,>=,0.83,0.938756,0.00111857,0.998881,0.113984,0.0596354,0.112551
REAL DATA,fingerprint,protected_template,hamming_similarity,>=,0.84,0.875911,0.00186428,0.998136,0.173252,0.0635973,0.119576
REAL DATA,fingerprint,protected_template,hamming_similarity,>=,0.85,0.807933,0.00298285,0.997017,0.237343,0.0685096,0.128209
REAL DATA,fingerprint,protected_template,hamming_similarity,>=,0.86,0.673956,0.00447427,0.995526,0.363701,0.080914,0.149664
REAL DATA,fingerprint,protected_template,hamming_similarity,>=,0.87,0.566667,0.00745712,0.992543,0.464788,0.0945245,0.172611
REAL DATA,fingerprint,protected_template,hamming_similarity,>=,0.88,0.397267,0.0160328,0.983967,0.624177,0.128631,0.22752
REAL DATA,fingerprint,protected_template,hamming_similarity,>=,0.89,0.289378,0.0298285,0.970172,0.725221,0.166539,0.284278
REAL DATA,fingerprint,protected_template,hamming_similarity,>=,0.9,0.161511,0.0577927,0.942207,0.844323,0.257989,0.405065
REAL DATA,fingerprint,protected_template,hamming_similarity,>=,0.91,0.0983333,0.090604,0.909396,0.902101,0.355332,0.510999
REAL DATA,fingerprint,protected_template,hamming_similarity,>=,0.92,0.0421778,0.171141,0.828859,0.950568,0.539432,0.653535
REAL DATA,fingerprint,protected_template,hamming_similarity,>=,0.93,0.0143111,0.296048,0.703952,0.969842,0.745656,0.724204
REAL DATA,fingerprint,protected_template,hamming_similarity,>=,0.94,0.00622222,0.397837,0.602163,0.97175,0.852243,0.705702
REAL DATA,fingerprint,protected_template,hamming_similarity,>=,0.95,0.00117778,0.564877,0.435123,0.967115,0.956557,0.598155
REAL DATA,fingerprint,protected_template,hamming_similarity,>=,0.96,0.000311111,0.680462,0.319538,0.961432,0.983927,0.482409
REAL DATA,fingerprint,protected_template,hamming_similarity,>=,0.97,2.22222e-05,0.843028,0.156972,0.952561,0.99763,0.271263
REAL DATA,fingerprint,protected_template,hamming_similarity,>=,0.98,0,0.928412,0.0715884,0.947779,1,0.133612
