evidence_label,modality,representation,score,rule,threshold,FAR,FRR,TAR,accuracy,precision,F1
REAL DATA,face,protected_template,estimated_cosine,>=,0.72,0.00025958,0.604908,0.395092,0.967725,0.988385,0.564524
REAL DATA,face,protected_template,estimated_cosine,>=,0.73,0.000185414,0.630997,0.369003,0.966414,0.991093,0.53778
REAL DATA,face,protected_template,estimated_cosine,>=,0.74,0.000160692,0.654433,0.345567,0.965197,0.991751,0.512543
REAL DATA,face,protected_template,estimated_cosine,>=,0.75,0.000123609,0.678974,0.321026,0.963932,0.99316,0.485213
REAL DATA,face,protected_template,estimated_cosine,>=,0.76,6.18047e-05,0.701526,0.298474,0.962797,0.99631,0.45934
REAL DATA,face,protected_template,estimated_cosine,>=,0.77,6.18047e-05,0.724298,0.275702,0.961591,0.996006,0.431861
REAL DATA,face,protected_template,estimated_cosine,>=,0.78,3.70828e-05,0.748839,0.251161,0.960315,0.997366,0.401272
REAL DATA,face,protected_template,estimated_cosine,>=,0.79,2.47219e-05,0.79549,0.20451,0.957857,0.997843,0.33945
REAL DATA,face,protected_template,estimated_cosine,>=,0.8,2.47219e-05,0.814946,0.185054,0.956827,0.997616,0.312197
REAL DATA,face,protected_template,estimated_cosine,>=,0.81,0,0.833296,0.166704,0.955878,1,0.285768
REAL DATA,face,protected_template,estimated_cosine,>=,0.82,0,0.850542,0.149458,0.954965,1,0.26005
REAL DATA,face,protected_template,estimated_cosine,>=,0.83,0,0.877073,0.122927,0.953561,1,0.218941
REAL DATA,face,protected_template,estimated_cosine,>=,0.84,0,0.891223,0.108777,0.952811,1,0.196211
REAL DATA,face,protected_template,estimated_cosine,>=,0.85,0,0.907583,0.0924165,0.951945,1,0.169197
REAL DATA,face,protected_template,estimated_cosine,>=,0.86,0,0.930356,0.069644,0.950739,1,0.130219
REAL DATA,face,protected_template,estimated_cosine,>=,0.87,0,0.939642,0.0603582,0.950248,1,0.113845
REAL DATA,face,protected_template,estimated_cosine,>=,0.88,0,0.957771,0.0422286,0.949288,1,0.0810352
REAL DATA,face,protected_template,estimated_cosine,>=,0.89,0,0.964183,0.0358169,0.948948,1,0.0691569
REAL DATA,face,protected_template,estimated_cosine,>=,0.9,0,0.976122,0.023878,0.948316,1,0.0466422
REAL DATA,face,protected_template,estimated_cosine,>=,0.91,0,0.984302,0.0156975,0.947883,1,0.0309099
REAL DATA,face,protected_template,estimated_cosine,>=,0.92,0,0.986956,0.0130444,0.947742,1,0.0257529
REAL DATA,face,protected_template,estimated_cosine,>=,0.93,0,0.991377,0.0086226,0.947508,1,0.0170978
