fpr,tpr,threshold
0.0,0.0,inf
2.4968789013732834e-06,0.0,0.9989985823631287
1.7478152309612985e-05,0.0,0.9879997968673706
1.7478152309612985e-05,0.0007407407407407407,0.9867138266563416
1.9975031210986267e-05,0.0007407407407407407,0.9866013526916504
1.9975031210986267e-05,0.0009876543209876543,0.9865686893463135
3.495630461922597e-05,0.0009876543209876543,0.9857743978500366
3.495630461922597e-05,0.0012345679012345679,0.985204815864563
3.745318352059925e-05,0.0012345679012345679,0.9851888418197632
3.745318352059925e-05,0.0014814814814814814,0.9851861596107483
4.2446941323345816e-05,0.0014814814814814814,0.9851061701774597
4.2446941323345816e-05,0.0017283950617283952,0.985005259513855
4.7440699126092386e-05,0.0017283950617283952,0.9847640991210938
4.7440699126092386e-05,0.0019753086419753087,0.9846845269203186
5.99250936329588e-05,0.0019753086419753087,0.9840182065963745
5.99250936329588e-05,0.0022222222222222222,0.9839074611663818
8.988764044943821e-05,0.0022222222222222222,0.9831583499908447
8.988764044943821e-05,0.0024691358024691358,0.9831349849700928
0.0001048689138576779,0.0024691358024691358,0.9827674031257629
0.0001048689138576779,0.0027160493827160493,0.9827196598052979
0.00010986267166042448,0.0027160493827160493,0.9824686050415039
0.00010986267166042448,0.002962962962962963,0.9824575185775757
0.00011485642946317104,0.002962962962962963,0.9822893738746643
0.00011485642946317104,0.0032098765432098763,0.9822834730148315
0.00011735330836454432,0.0032098765432098763,0.982271671295166
0.00011735330836454432,0.0034567901234567903,0.982258677482605
0.00012734082397003745,0.0034567901234567903,0.9820720553398132
0.00012734082397003745,0.003703703703703704,0.981975793838501
0.00013732833957553057,0.003703703703703704,0.9818617701530457
0.00013732833957553057,0.0044444444444444444,0.9815621376037598
0.00014731585518102373,0.0044444444444444444,0.9813042879104614
0.00014731585518102373,0.004691358024691358,0.9812795519828796
0.00015730337078651685,0.004691358024691358,0.9811708331108093
0.00015730337078651685,0.0049382716049382715,0.9811291098594666
0.00016229712858926342,0.0049382716049382715,0.9810714721679688
0.00016229712858926342,0.005185185185185185,0.9810023903846741
0.00017228464419475654,0.005185185185185185,0.980589747428894
0.00017228464419475654,0.005432098765432099,0.980582594871521
0.00018726591760299626,0.005432098765432099,0.9803750514984131
0.00018726591760299626,0.005679012345679012,0.980352520942688
0.0002272159800249688,0.005679012345679012,0.979865312576294
0.0002272159800249688,0.006172839506172839,0.9797468781471252
0.00024968789013732833,0.006172839506172839,0.9795554876327515
0.00024968789013732833,0.006419753086419753,0.9795552492141724
0.000264669163545568,0.006419753086419753,0.9793483018875122
0.000264669163545568,0.006666666666666667,0.9792031645774841
0.00027715355805243443,0.006666666666666667,0.9790714383125305
0.00027715355805243443,0.006913580246913581,0.9790347218513489
0.0002921348314606742,0.006913580246913581,0.9788080453872681
0.0002921348314606742,0.007160493827160494,0.978797972202301
0.00029463171036204746,0.007160493827160494,0.9787561297416687
0.00029463171036204746,0.007407407407407408,0.9787551164627075
0.00031210986267166043,0.007407407407407408,0.9786664247512817
0.00031210986267166043,0.007654320987654321,0.9786403775215149
0.0003146067415730337,0.007654320987654321,0.9785795211791992
0.0003146067415730337,0.007901234567901235,0.9785537719726562
0.0003670411985018727,0.007901234567901235,0.9779696464538574
0.0003670411985018727,0.008148148148148147,0.9779154062271118
0.0003945068664169788,0.008148148148148147,0.9775788187980652
0.0003945068664169788,0.008395061728395062,0.9775676131248474
0.0004394506866416979,0.008395061728395062,0.9771776795387268
0.0004394506866416979,0.008641975308641974,0.9771773219108582
0.00044694132334581775,0.008641975308641974,0.9771320223808289
0.00044694132334581775,0.008888888888888889,0.9771203994750977
0.00047191011235955056,0.008888888888888889,0.9769562482833862
0.00047191011235955056,0.009135802469135803,0.9769128561019897
0.00048689138576779025,0.009135802469135803,0.9768316149711609
0.00048689138576779025,0.009382716049382716,0.9767423868179321
0.0005043695380774032,0.009382716049382716,0.976587176322937
0.0005068664169787765,0.00962962962962963,0.9765663743019104
0.0005093632958801498,0.00962962962962963,0.976564884185791
0.0005093632958801498,0.009876543209876543,0.9765520691871643
0.0005143570536828964,0.009876543209876543,0.9765429496765137
0.0005143570536828964,0.010123456790123457,0.9765305519104004
0.0005193508114856429,0.010123456790123457,0.9765200614929199
0.0005193508114856429,0.01037037037037037,0.9765163660049438
0.0005218476903870162,0.01037037037037037,0.97649747133255
0.0005218476903870162,0.010617283950617284,0.9764914512634277
0.0005243445692883895,0.010617283950617284,0.9764745831489563
0.0005243445692883895,0.010864197530864197,0.9764668345451355
0.0005318352059925093,0.010864197530864197,0.9764524698257446
0.0005318352059925093,0.011111111111111112,0.9764307737350464
0.0005518102372034956,0.011111111111111112,0.9763016700744629
0.0005518102372034956,0.011358024691358024,0.976266622543335
0.0005692883895131087,0.011358024691358024,0.9761254787445068
0.0005692883895131087,0.011604938271604939,0.976117730140686
0.000651685393258427,0.011604938271604939,0.9756301045417786
0.000651685393258427,0.011851851851851851,0.9756289720535278
0.0006541822721598002,0.011851851851851851,0.9756109714508057
0.0006541822721598002,0.012098765432098766,0.9756012558937073
0.0006641697877652934,0.012098765432098766,0.9755313992500305
0.0006641697877652934,0.012592592592592593,0.975525975227356
0.0006991260923845193,0.012592592592592593,0.9753720760345459
0.0006991260923845193,0.012839506172839505,0.9753656387329102
0.0007116104868913857,0.012839506172839505,0.9752362370491028
0.0007116104868913857,0.01308641975308642,0.9752258658409119
0.0007166042446941324,0.01308641975308642,0.9752137660980225
0.0007166042446941324,0.013333333333333334,0.9752117395401001
0.0007890137328339576,0.013333333333333334,0.9746944904327393
0.0007890137328339576,0.013827160493827161,0.9746604561805725
0.0007965043695380774,0.013827160493827161,0.9746461510658264
0.0007965043695380774,0.014074074074074074,0.9746153354644775
0.0008539325842696629,0.014074074074074074,0.9742956757545471
0.0008589263420724094,0.014074074074074074,0.974289059638977
0.0008689138576779026,0.014074074074074074,0.9742567539215088
0.0008689138576779026,0.014320987654320988,0.9742217063903809
0.0008789013732833958,0.014320987654320988,0.9741756916046143
0.0008789013732833958,0.014567901234567901,0.9741531610488892
0.0008888888888888889,0.014567901234567901,0.9740942120552063
0.0008888888888888889,0.014814814814814815,0.9740835428237915
0.0008938826466916355,0.014814814814814815,0.9740726947784424
0.0008938826466916355,0.015061728395061728,0.974052906036377
0.0009138576779026217,0.015061728395061728,0.973923921585083
0.0009138576779026217,0.015308641975308642,0.9739176630973816
0.0009563046192259675,0.015308641975308642,0.9736968874931335
0.0009563046192259675,0.015555555555555555,0.973691999912262
0.0009962546816479402,0.015555555555555555,0.9734620451927185
0.0009962546816479402,0.01580246913580247,0.9734573364257812
0.0010436953807740324,0.01580246913580247,0.9732020497322083
0.0010436953807740324,0.016049382716049384,0.9731982350349426
0.0010911360799001249,0.016049382716049384,0.9730173349380493
0.0010911360799001249,0.016296296296296295,0.9730168581008911
0.001093632958801498,0.016296296296296295,0.9730074405670166
0.001093632958801498,0.01654320987654321,0.9730004072189331
0.0011136079900124845,0.01654320987654321,0.9729286432266235
0.0011136079900124845,0.016790123456790124,0.9729264974594116
0.001146067415730337,0.016790123456790124,0.9727147817611694
