epoch,timestamp_utc,learning_rate,train_loss,validation_loss,train_accuracy,validation_accuracy,validation_EER,validation_AUC,elapsed_seconds,cumulative_training_seconds
1,2026-09-25T07:57:33+00:00,0.0001,13.455870867345618,9.42636709453914,0.1291248206599713,0.26291079812206575,0.08489177032928058,0.9550559774257039,114.14,114.14
2,2026-09-25T07:59:18+00:00,0.0001,8.314617792765299,6.332296958831554,0.3285509325681492,0.4107981220657277,0.08383098736410241,0.95284622817764,104.93,219.07
3,2026-09-25T08:01:34+00:00,0.0001,5.6801426599950435,4.241691292451581,0.41415590626494503,0.528169014084507,0.08064281184556218,0.9361278166800765,135.97,355.04
4,2026-09-25T08:03:26+00:00,0.0001,3.6594990612159557,2.8016494154370446,0.5581061692969871,0.6455399061032864,0.08149260354230584,0.9492468293426836,111.6,466.65
5,2026-09-25T08:05:15+00:00,0.0001,2.365359763332898,1.826652542176381,0.6532759445241512,0.7417840375586855,0.08064281184556218,0.9564723463822715,109.71,576.36
6,2026-09-25T08:06:50+00:00,0.0001,1.3152681466268614,1.241202633355705,0.7752271640363463,0.823943661971831,0.07724947168159327,0.9634147578013289,94.53,670.89
7,2026-09-25T08:08:21+00:00,0.0001,0.7214965055799553,0.9590359440187054,0.8632233381157342,0.8967136150234741,0.07363931362618409,0.972338075129486,91.53,762.42
8,2026-09-25T08:10:21+00:00,0.0001,0.39093607783830664,0.7503272959778846,0.9406982305117169,0.92018779342723,0.05605129224704793,0.9868901625374573,119.68,882.1
9,2026-09-25T08:11:55+00:00,0.0001,0.25482986966483845,0.6846238146907707,0.9660449545671927,0.9366197183098591,0.05284563685949019,0.97893248679063,94.21,976.31
10,2026-09-25T08:13:34+00:00,0.0001,0.15234337005245804,0.71355162784807,0.9765662362505978,0.9225352112676056,0.04962250160291487,0.9857434628504904,98.37,1074.67
