epoch,timestamp_utc,learning_rate,train_loss,validation_loss,train_accuracy,validation_accuracy,validation_EER,validation_AUC,elapsed_seconds,cumulative_training_seconds
1,2026-09-25T03:12:40+00:00,0.0001,13.469434714144136,9.38167764996806,0.1351089588377724,0.2695035460992908,0.009152398321021656,0.9993710976689008,71.53,71.53
2,2026-09-25T03:13:52+00:00,0.0001,8.316556243111377,6.282150496334612,0.3191283292978208,0.40425531914893614,0.005959701232293205,0.9997352758491845,71.73,143.27
3,2026-09-25T03:15:42+00:00,0.0001,5.636109612351757,4.1748169128635535,0.4092009685230024,0.5390070921985816,0.0029266301889639456,0.9999182219327981,109.74,253.01
4,2026-09-25T03:16:56+00:00,0.0001,3.643315845886674,2.792176848827877,0.5501210653753027,0.6524822695035462,0.003571082987507706,0.9999256164902719,73.89,326.9
5,2026-09-25T03:18:15+00:00,0.0001,2.297243325877709,1.839464538706462,0.6697336561743341,0.7257683215130024,0.0025541576709828175,0.999934412943087,79.32,406.22
6,2026-09-25T03:20:57+00:00,0.0001,1.3249087341761185,1.1240855959149398,0.7685230024213076,0.8156028368794326,0.0036597836994787542,0.9999405717184916,161.94,568.15
7,2026-09-25T03:22:07+00:00,0.0001,0.704433866159102,0.7494040571910552,0.8542372881355932,0.8534278959810875,0.002767004143564696,0.9999667974805329,70.38,638.53
8,2026-09-25T03:23:18+00:00,0.0001,0.31300188603181817,0.6144403652343062,0.9336561743341404,0.900709219858156,0.0029798506161465748,0.9999682069264775,70.61,709.15
9,2026-09-25T03:24:34+00:00,0.0001,0.16230378707298065,0.5223926596044085,0.9661016949152542,0.9125295508274232,0.0021284647258190056,0.999984589218716,75.76,784.91
10,2026-09-25T03:26:22+00:00,0.0001,0.10677767088569105,0.4504398478340384,0.9830508474576272,0.9219858156028369,0.002098897821828656,0.9999864416333861,108.25,893.16
