epoch,timestamp_utc,learning_rate,train_loss,validation_loss,train_accuracy,validation_accuracy,validation_EER,validation_AUC,elapsed_seconds,cumulative_training_seconds
1,2026-09-25T08:19:05+00:00,0.0001,13.322556516418384,9.241027919059627,0.13486370157819225,0.28169014084507044,0.08404197863253687,0.9370169924903039,109.26,109.26
2,2026-09-25T08:20:59+00:00,0.0001,8.06492938635054,6.0125868716430215,0.3285509325681492,0.431924882629108,0.08149260354230584,0.9310589044480717,113.9,223.16
3,2026-09-25T08:22:59+00:00,0.0001,5.325558942222869,3.7570029736404686,0.43567670970827355,0.57981220657277,0.08000983804025877,0.9314908708886226,119.6,342.77
4,2026-09-25T08:25:23+00:00,0.0001,3.2429676039945217,2.331998527679645,0.5882352941176471,0.6971830985915493,0.07873223718364036,0.9435192391431465,143.92,486.69
5,2026-09-25T08:27:14+00:00,0.0001,1.9902380578886203,1.4606710493284771,0.6958393113342898,0.7981220657276995,0.06727461583511524,0.9579356077831576,111.45,598.14
6,2026-09-25T08:29:13+00:00,0.0001,1.045030945456809,1.003622378961581,0.8177905308464849,0.8615023474178404,0.06769659837198415,0.9632368528978705,118.42,716.56
7,2026-09-25T08:30:56+00:00,0.0001,0.5242963123982857,0.7029658750119344,0.9076996652319465,0.9366197183098591,0.05942132591899348,0.9758159433697353,103.32,819.89
8,2026-09-25T08:32:35+00:00,0.0001,0.27850286114563616,0.6467965067377393,0.9646102343376375,0.9436619718309859,0.04859667837577173,0.9857768521701856,98.84,918.73
9,2026-09-25T08:34:22+00:00,0.0001,0.1945280560262462,0.6233061216246913,0.9722620755619321,0.9483568075117371,0.05921033465055903,0.9831020736110424,106.76,1025.49
10,2026-09-25T08:35:57+00:00,0.0001,0.11879699286349592,0.6220250317713184,0.9803921568627451,0.9483568075117371,0.04096020635109032,0.984922334379824,95.47,1120.96
