epoch,timestamp_utc,learning_rate,train_loss,validation_loss,train_accuracy,validation_accuracy,validation_EER,validation_AUC,elapsed_seconds,cumulative_training_seconds
1,2026-09-25T05:57:49+00:00,0.0001,15.250771189082332,11.264649089064722,0.07167070217917676,0.2553191489361702,0.04916753516641878,0.9906868266834473,306.62,306.62
2,2026-09-25T06:02:52+00:00,0.0001,10.745392513967888,8.844747991426617,0.24455205811138014,0.3215130023640662,0.02855690761076295,0.9958188383353572,302.34,608.95
3,2026-09-25T06:05:33+00:00,0.0001,8.38657458538582,7.128516363477594,0.3220338983050847,0.40425531914893614,0.02276865918546519,0.9977479621009852,161.56,770.51
4,2026-09-25T06:07:13+00:00,0.0001,6.434793051564953,5.708320149821593,0.401452784503632,0.4728132387706856,0.019363115624154804,0.9977180717794879,99.71,870.22
5,2026-09-25T06:13:39+00:00,0.0001,4.901155551928873,4.684213169887838,0.4808716707021792,0.5295508274231678,0.01915618253237094,0.9982633260106408,386.22,1256.44
6,2026-09-25T06:20:36+00:00,0.0001,3.526458695321626,3.7457297819162374,0.5728813559322034,0.5768321513002365,0.013781800290640852,0.998435426911084,416.84,1673.27
7,2026-09-25T06:26:42+00:00,0.0001,2.4983353428921458,3.024457735443228,0.6416464891041163,0.6052009456264775,0.012132248937168287,0.999301813333251,366.05,2039.33
8,2026-09-25T06:31:55+00:00,0.0001,1.6425429292221623,2.6664369912294066,0.7292978208232446,0.6288416075650118,0.016602024861388176,0.997892659345276,312.36,2351.69
9,2026-09-25T06:37:55+00:00,0.0001,1.0129660306484878,2.0783671126579844,0.8009685230024213,0.6855791962174941,0.010051091257733841,0.9994618961901482,360.34,2712.03
10,2026-09-25T06:42:25+00:00,0.0001,0.5831459334052503,1.9140163858379315,0.8653753026634382,0.7044917257683215,0.013030941873880415,0.9991255998708908,269.97,2982.0
